model,id,gold_label,dataset,dialect,sarcasm,original_text,paraphrase,original_prediction,paraphrase_prediction,error_category,error_explanation
Gemini 2.5 Flash,SENT_010331,negative,ArSarcasm,egypt,True,مصر دولة بس مش أوي #المادة_الأولى,مصر دولة على الورق، لكن في الحقيقة هي مش كده.,negative,positive,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
Gemini 2.5 Flash,SENT_018865,neutral,ArSarcasm,msa,False,#بروباجندا | #الجيش_السوري يعتزم تحرير #حلب قبل تنصيب «#ترامب»رسمياالتفاصيل على الرابط التالي https://t.co/zQndoda30U,ينوي الجيش السوري تحرير حلب قبل التنصيب الرسمي لترامب.,neutral,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
Gemini 2.5 Flash,SENT_012322,positive,ArSarcasm,egypt,False,للمرة الأولى ميريام فارس تنشر فيديو لطفلها جايدن وتنهال عليها التعليقات...وشاهد زوجها الوسيم وصور زفافها... https://t.co/A110FgzmeU,لأول مرة، ميريام فارس تكشف عن فيديو لطفلها جايدن وتنهال عليها التعليقات بكثافة. وشاهد أيضاً زوجها الوسيم وصور زفافها.,neutral,positive,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
Gemini 2.5 Flash,SENT_007150,negative,ASTD,unknown,unknown,# تقريبا دي اكتر حاجة قريتها جسدت المذبحة اللي حصلت لاقرب ما يمكن #مذبحة_بورسعيد,على ما أظن، مفيش حاجة قريتها نقلت حقيقة المذبحة اللي حصلت زي النص ده بالظبط.,negative,positive,paraphrase_sentiment_shift,The paraphrase may have changed the sentiment strength or polarity.
Gemini 2.5 Flash,SENT_005504,negative,ASTD,unknown,unknown,"مقتل سعيد فضة أكبر مورد بلطجية فى #شبرا_الخيمة وعميل أمن الدولة """,تأكيد مقتل سعيد فضة، المعروف بكونه أكبر مورد للبلطجية في شبرا الخيمة، وعميل جهاز أمن الدولة.,negative,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
Gemini 2.5 Flash,SENT_013559,positive,ArSarcasm,msa,False,صورة: كاسياس يحتفل بالانتصار في ديربي مدريد https://t.co/JasRYmGOkb #غزة #فلسطين,تُظهر هذه الصورة كاسياس وهو يحتفل بالانتصار في ديربي مدريد. #غزة #فلسطين,positive,neutral,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
Gemini 2.5 Flash,SENT_001501,neutral,ASTD,unknown,unknown,عائلة إماراتية في سوق واقف ومشاعر أخويه غير مستغربه #سحب_السفراء_من_قطر,منظر عائلة إماراتية بسوق واقف والمشاعر الأخوية الصادقة بينهم، شيء متعودين عليه وما هو غريب أبدًا.,negative,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
Gemini 2.5 Flash,SENT_013906,neutral,ArSarcasm,msa,False,تنمية بشرية - 3 دقائق للتأجيل والمماطلة #ماذا_لو_المدارس_مختلطهxatoildb.thshttps://t.co/WH2pPoi0UX,محتوى في مجال التنمية البشرية، مدته 3 دقائق، يتناول التأجيل والمماطلة. #ماذا_لو_المدارس_مختلطه https://t.co/WH2pPoi0UX,negative,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
Gemini 2.5 Flash,SENT_005875,positive,ASTD,unknown,unknown,#كلمة_شكر ل عآدل عبدالله ع البلنتي و الطرد اللي حصله ، اصلاً الطرد احلى 😳😳,حابين نشكر عادل عبدالله على البلنتي اللي أخذه، وعلى الطرد اللي حصله كمان. أصلاً، الطرد كان أحلى!,positive,negative,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
Gemini 2.5 Flash,SENT_014641,positive,ArSarcasm,msa,False,تتعانق الاخوات#حلب#بورما#غروزني#سربرنيتشا#غزةمع اختهم الكبرى #القدس في خدمة المصالح العليا للامة العربية والاسلامية,تتوحد حلب، بورما، غروزني، سربرنيتشا، وغزة، كأخوات، مع القدس أختهن الكبرى، في سبيل تحقيق المصالح العليا للأمة العربية والإسلامية.,negative,positive,paraphrase_clarified_sentiment,The paraphrase made the sentiment clearer than the original text.
Gemini 2.5 Flash,SENT_012903,neutral,ArSarcasm,msa,False,لا ترتبط بفتاة لا تجيد الطبخ فالحب لن يطبخ لك الغدانزار برياني(:😂#معرض_الكويت_الدولي_للكتاب,نصيحة: لا ترتبط ببنت ما تعرف تطبخ، لأن الحب بروحه ما راح يسويلك غداك، ولا حتى برياني نزار! 😂,positive,neutral,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
Gemini 2.5 Flash,SENT_005338,negative,ASTD,unknown,unknown,تعرضت لكل هذا من معسكر أخر بعد قانون العزل وواجهته وفندت زيفه أرى نفسي في كتلة ثالثة ليست مع عودة النظام القديم ولا مع هيمنة فصيل واحد,بعد قانون العزل، اتعرضت لحاجات كتير من طرف تاني، لكني واجهتهم وفندت زيف ادعاءاتهم. أنا شايف نفسي في تيار تالت، لا مع عودة النظام القديم ولا مع سيطرة فصيل واحد.,neutral,positive,gold_label_or_context_ambiguity,The gold label or context appears ambiguous.
Gemini 2.5 Flash,SENT_019792,negative,ArSarcasm,egypt,False,12 مليون مصرى لم يدفعوا فاتورة الكهرباء الانقلاب ساقط اصبروا وثابروا واحشدوا واهتفوا سلميتنا سلاحنا,12 مليون مصري ما دفعوش فاتورة الكهرباء. الانقلاب ساقط حتمًا. اصبروا وثابروا واحشدوا واهتفوا، سلميتنا هي سلاحنا.,negative,positive,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
Gemini 2.5 Flash,SENT_004601,neutral,ASTD,unknown,unknown,مشاهد من مسرح حكم الفرد الجزء الأول مقال اليوم في الشروق,"نُشر اليوم في الشروق مقال بعنوان ""مشاهد من مسرح حكم الفرد الجزء الأول"".",negative,neutral,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
GPT-OSS-20B via Groq,SENT_003924,neutral,ASTD,unknown,unknown,"بخصوص التحرش #تحرش #حقيقة #بنات يقولون لو تسترت البقره ماتعرضلها الثور ""̮",يتداولون في موضوع التحرش كلام مفاده أن البقرة لو تسترت، الثور ما كان تعرضلها.,negative,neutral,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
GPT-OSS-20B via Groq,SENT_012322,positive,ArSarcasm,egypt,False,للمرة الأولى ميريام فارس تنشر فيديو لطفلها جايدن وتنهال عليها التعليقات...وشاهد زوجها الوسيم وصور زفافها... https://t.co/A110FgzmeU,لأول مرة، ميريام فارس تكشف عن فيديو لطفلها جايدن وتنهال عليها التعليقات بكثافة. وشاهد أيضاً زوجها الوسيم وصور زفافها.,positive,neutral,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
GPT-OSS-20B via Groq,SENT_012766,neutral,ArSarcasm,levant,False,@Celebrities_Mag سوري بس وين نوال الزغبي و نجوى كرم كأفضل فنانين؟؟؟؟هني لازم يكونو قبل الكل؟؟,عفواً، بس وين نوال الزغبي ونجوى كرم من قائمة أفضل الفنانين؟ هني المفروض يكونوا بالصدارة وقبل أي حدا!,neutral,negative,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
GPT-OSS-20B via Groq,SENT_010714,negative,ArSarcasm,msa,False,استشهاد جنود مصريين على الحدود بنيران صهيونية جريمة غير مقبولة دماء هؤلاء الشهداء تستدعى موقفا جادا حفاظا على كرامتنا وصيانة لحدودنا,استشهاد جنودنا المصريين على الحدود بنيران صهيونية عمل إجرامي مرفوض تماماً. دماء هؤلاء الشهداء تستلزم منا وقفة جادة لحماية كرامتنا وصون حدودنا.,negative,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
GPT-OSS-20B via Groq,SENT_018140,negative,ArSarcasm,msa,True,"القرآن الكريم مُعَّلق في بيوتنا ولكن لم نشعر أننا هجرناه كما شعرنا أن #الواتساب_معلق ! آخر حالة ظهور للمصحف عند البعض""ر…","القرآن الكريم معلق في بيوتنا، لكننا لم نشعر بمدى هجراننا له كما شعرنا بالضيق عندما أصبح #الواتساب_معلقًا! آخر حالة ظهور للمصحف عند البعض ""ر...""",neutral,negative,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
GPT-OSS-20B via Groq,SENT_016365,negative,ArSarcasm,msa,True,#اعرفوهم #انقلاب_مصر #يسقط_حكم_العسكر #الداخلية_بلطجية #الحرية لنور الدين محمود 15سنة #الدقهلية طالب بالثانوي الأزهري,لازم تعرفوا مين دول! اللي بيحصل في مصر ده انقلاب، ولازم يسقط حكم العسكر. الداخلية بلطجية. بنطالب بالحرية لنور الدين محمود، طالب الثانوي الأزهري اللي عنده ١٥ سنة من الدقهلية.,positive,negative,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
GPT-OSS-20B via Groq,SENT_001501,neutral,ASTD,unknown,unknown,عائلة إماراتية في سوق واقف ومشاعر أخويه غير مستغربه #سحب_السفراء_من_قطر,منظر عائلة إماراتية بسوق واقف والمشاعر الأخوية الصادقة بينهم، شيء متعودين عليه وما هو غريب أبدًا.,neutral,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
GPT-OSS-20B via Groq,SENT_002281,neutral,ASTD,unknown,unknown,"#اعترافات_الطفولة كنت اصوت حق بشار الشطي من فون ابوي كل ما يطلع نومينيه 😂😂""",أيام الطفولة، كنت أحرص إني أصوت حق بشار الشطي من فون أبوي كل ما يصير نومينيه.,positive,neutral,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
GPT-OSS-20B via Groq,SENT_020069,negative,ArSarcasm,gulf,False,RT @tjshghg: ضربةحرة ضائعة للبرشا والآمال لازالت معلقة بالفوزجوالhttps://t.co/g05NYwvEqUيوتيوبhttps://t.co/g05NYwvEqU#برشلونة_الافيس#…,أضاع البرشا ضربة حرة، لكن الآمال بالفوز لم تنقطع بعد.,negative,neutral,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
GPT-OSS-20B via Groq,SENT_015681,positive,ArSarcasm,msa,False,"تكريم ""رامي عياش"" بجامعة الـ LAU في لبنان#ET_بالعربي https://t.co/9Gj3aDFwSL",رامي عياش يُكرّم في جامعة LAU اللبنانية.,positive,neutral,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
GPT-OSS-20B via Groq,SENT_014554,positive,ArSarcasm,msa,False,#عبد_الفتاح_السيسي @AlsisiOfficial يهني باختيار #جوتيريس سكرتير عام ل #الأمم_المتحدةhttps://t.co/Ff3WNWVwYq… https://t.co/2gns4eH3YS,عبد الفتاح السيسي يهنئ جوتيريس على اختياره أمينًا عامًا للأمم المتحدة.,positive,neutral,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
GPT-OSS-20B via Groq,SENT_014800,negative,ArSarcasm,msa,True,الارجنتين بدون ميسي مضحكه 😂😂,الأرجنتين بلا ميسي مسخرة.,positive,negative,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
GPT-OSS-20B via Groq,SENT_015148,positive,ArSarcasm,msa,False,@AssalaOfficial تتر فلم فاست فاريوس 8 اغنية جزائرية بصوت جستن بيبر بعد النسخة سابقة دي جي سنايك قاصف جبهة… https://t.co/ytVZDNe1Fx,تتر فيلم فاست آند فيوريوس 8، أغنية جزائرية بصوت جاستن بيبر، بعد النسخة السابقة لدي جي سنايك. قصف جبهة حقيقي!,neutral,positive,paraphrase_clarified_sentiment,The paraphrase made the sentiment clearer than the original text.
GPT-OSS-20B via Groq,SENT_016003,positive,ArSarcasm,egypt,False,RT @LibanCulture: وفعلها سعد رمضان وتحوّل إلى عريسٍ في ضيعته برجا@Saad_Ramadan https://t.co/N2SGUsAJTC https://t.co/kFsDij28fx,ها قد فعلها سعد رمضان! أصبح الآن عريساً في ضيعته برجا.,neutral,positive,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
GPT-OSS-20B via Groq,SENT_012147,negative,ArSarcasm,gulf,False,ڤالنتينو كيوت وناعم. الباقيين ما أخسر فيهم ريال قديم 😳تحديداً غوتشي ! ماهذا يا بيونسيه ؟ https://t.co/szjADT1gmR,ڤالنتينو كيوت وناعم. أما الباقيين، تحديداً غوتشي، فما يستاهلون أخسر فيهم ريال قديم 😳 وش هالشيء يا بيونسيه؟,positive,negative,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
GPT-OSS-20B via Groq,SENT_008990,neutral,ASTD,unknown,unknown,يتم توليد الطاقة الحديثة من 3 مصادر اساسية #المياة و #الرمال و #الهواء لذلك #أوقفوا_الفحم,تُنتج الطاقة الحديثة بالاعتماد على ثلاثة مصادر أساسية: الماء، الرمل، والهواء. لذلك، أوقفوا الفحم.,positive,neutral,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
GPT-OSS-20B via Groq,SENT_018445,neutral,ArSarcasm,msa,False,4 متصفحات مميزة لهواتف أندرويد - https://t.co/dLSAi4o8Nk https://t.co/291y4zB4VA,إليكم 4 متصفحات أندرويد استثنائية.,neutral,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
GPT-OSS-20B via Groq,SENT_016199,negative,ArSarcasm,gulf,True,@oceanazul80 او ارقام ص😂😂😂😂😂بابا رندفو او انه امثل علينا قدام الكاميرات انه ها شفوني 😂😂😂😂😂والله يا اوباما مخلغين اسنان هي اسوالف 😂😂😂😂😂,"هل هي أرقام وبس صح؟ يا أخي، هذا رندفو ولا تمثيل علينا قدام الكاميرات عشان يقول ""ها شوفوني""؟ والله يا أوباما، هالسوالف صارت مخلّعة أسنانها.",positive,negative,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
GPT-OSS-20B via Groq,SENT_016928,neutral,ArSarcasm,egypt,False,احمد الشيخ :- ياجدعان بوصولي جمبكو اهو انا اللي جبت الجون https://t.co/bj4G0qtRQ1,يا جدعان، بصوا لي، أنا جنبكم أهو، أنا اللي جبت الجون.,neutral,negative,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
GPT-OSS-20B via Groq,SENT_007196,neutral,ASTD,unknown,unknown,شاهدوا في الحلقة 23 من برنامج: عُمر صانع حضارة، كيف كان التراحم الاجتماعي بينه وبين الناس سبباً في إقامة دولة,تابعوا الحلقة الثالثة والعشرين من برنامج 'عُمر صانع حضارة' لتكتشفوا الدور المحوري الذي لعبه التراحم الاجتماعي بينه وبين رعيته في تأسيس الدولة.,neutral,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
GPT-OSS-20B via Groq,SENT_002999,positive,ASTD,unknown,unknown,"المعنى الحقيقي للوطنية المعنى الحقيقي للضحكة الصافية #باسم""",باسم يجسّد المعنى الحقيقي للوطنية والضحكة الصافية.,neutral,positive,paraphrase_clarified_sentiment,The paraphrase made the sentiment clearer than the original text.
GPT-OSS-20B via Groq,SENT_019792,negative,ArSarcasm,egypt,False,12 مليون مصرى لم يدفعوا فاتورة الكهرباء الانقلاب ساقط اصبروا وثابروا واحشدوا واهتفوا سلميتنا سلاحنا,12 مليون مصري ما دفعوش فاتورة الكهرباء. الانقلاب ساقط حتمًا. اصبروا وثابروا واحشدوا واهتفوا، سلميتنا هي سلاحنا.,negative,positive,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
AraBERT-ArSAS,SENT_020165,negative,ArSarcasm,msa,True,2008 الشرطة التركية اليوم تفرق المظاهرات ضد اردوغان بالقوة بينما يندد هو بفض اعتصامات رابعة,الشرطة التركية في عام 2008 فرّقت بعنف المظاهرات المناهضة لأردوغان، وهو ذاته الذي يندد اليوم بفض اعتصامات رابعة.,neutral,negative,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
AraBERT-ArSAS,SENT_015883,negative,ArSarcasm,egypt,False,#افضل_طقم_لروجر_فيدررأستراليا 2012مجررررررررم  https://t.co/wcUyd5u2kN,أفضل طقم لروجر فيدرر في أستراليا 2012، يا له من إجرام! ❤️,neutral,negative,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
AraBERT-ArSAS,SENT_010681,positive,ArSarcasm,msa,False,RT @RM_News4: فيديو | تصدي رائع من كارفخال على خط المرمى. يتليه تألق الحارس كاسيا في تدريبات ريال مدريد اليوم . https://t.co/GR3YpQ8g5Y,في تدريبات ريال مدريد اليوم، برز كارفخال بتصديه المذهل على خط المرمى، وقد تبع ذلك تألق لافت من الحارس كاسيا.,neutral,positive,paraphrase_clarified_sentiment,The paraphrase made the sentiment clearer than the original text.
AraBERT-ArSAS,SENT_010202,positive,ArSarcasm,msa,False,يوم 7/7، يوم هام في مشروع (العلم قوة) وهدفه جذب وتسكين 100 ألف أمي داخل الفصول، في يوم واحد، عن طريق 10 ألاف,"يُشكل السابع من يوليو يومًا بالغ الأهمية لمشروع ""العلم قوة""، والذي يهدف إلى استقطاب وإلحاق 100 ألف شخص أمي بالفصول الدراسية، في يوم واحد فقط، عبر 10 آلاف.",positive,neutral,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
AraBERT-ArSAS,SENT_015033,positive,ArSarcasm,msa,False,عجييييييب 😻😻😻😻#MannequinChallenge https://t.co/DSSXytSw99,خرافي!,positive,negative,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
AraBERT-ArSAS,SENT_000258,neutral,ASTD,unknown,unknown,افتكرت تعليق علاء الحامولي ع اللي حصل لعادل الأمور في ماتش المنيا زمااااان بس لسه شغال,افتكرت تعليق علاء الحامولي على اللي حصل لعادل الأمور في ماتش المنيا من زمن بعيد أوي، بس لسه كلامه ماشي لحد دلوقتي.,positive,negative,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
AraBERT-ArSAS,SENT_012766,neutral,ArSarcasm,levant,False,@Celebrities_Mag سوري بس وين نوال الزغبي و نجوى كرم كأفضل فنانين؟؟؟؟هني لازم يكونو قبل الكل؟؟,عفواً، بس وين نوال الزغبي ونجوى كرم من قائمة أفضل الفنانين؟ هني المفروض يكونوا بالصدارة وقبل أي حدا!,negative,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
AraBERT-ArSAS,SENT_013559,positive,ArSarcasm,msa,False,صورة: كاسياس يحتفل بالانتصار في ديربي مدريد https://t.co/JasRYmGOkb #غزة #فلسطين,تُظهر هذه الصورة كاسياس وهو يحتفل بالانتصار في ديربي مدريد. #غزة #فلسطين,neutral,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
AraBERT-ArSAS,SENT_016637,positive,ArSarcasm,egypt,False,احنا اسكندرانية ونعجبوك,إحنا إسكندرانية، يعني ناس تعجبك.,positive,negative,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
AraBERT-ArSAS,SENT_007623,neutral,ASTD,unknown,unknown,شبكه اخبار #المحله | متابعات | صورة اخرى من معرض السيارات الذى قام مجهولون باشعال النيران فى السيارات المتواجده,شبكة أخبار المحلة | متابعة | دي صورة تانية من معرض العربيات اللي مجهولين ولعوا نار في العربيات اللي كانت موجودة فيه.,neutral,negative,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
AraBERT-ArSAS,SENT_020069,negative,ArSarcasm,gulf,False,RT @tjshghg: ضربةحرة ضائعة للبرشا والآمال لازالت معلقة بالفوزجوالhttps://t.co/g05NYwvEqUيوتيوبhttps://t.co/g05NYwvEqU#برشلونة_الافيس#…,أضاع البرشا ضربة حرة، لكن الآمال بالفوز لم تنقطع بعد.,neutral,positive,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
AraBERT-ArSAS,SENT_014869,positive,ArSarcasm,msa,False,الله يبركلك يا دكتور ابو الفتوح #,ربنا يبارك فيك يا دكتور ابو الفتوح,negative,positive,paraphrase_clarified_sentiment,The paraphrase made the sentiment clearer than the original text.
AraBERT-ArSAS,SENT_010242,negative,ArSarcasm,msa,False,RT @TustarNet: إيران تلوث بيئة الأحواز ، وإصابة ٢٧ الف بالسرطان خلال شهرين -... https://t.co/zZAxt7ILbF,تواصل إيران تلويث بيئة الأحواز، مما أدى إلى تسجيل 27 ألف حالة سرطان خلال شهرين.,neutral,negative,paraphrase_clarified_sentiment,The paraphrase made the sentiment clearer than the original text.
AraBERT-ArSAS,SENT_003380,positive,ASTD,unknown,unknown,مااحلى شعارك ومدافعك ياقنرررزز #ارسنال,ما أروع شعارك ومدافعيك يا مدفعجية!,positive,negative,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
AraBERT-ArSAS,SENT_003853,neutral,ASTD,unknown,unknown,عاطف الجوهرى - #إفتكروهم #المجد_للشهداء,تذكروا شهداءنا. المجد لهم.,negative,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
AraBERT-ArSAS,SENT_001287,positive,ASTD,unknown,unknown,كورسيرا أكبر موقع عالمي يحتوى على مناهج جامعات عالمية هي الأفضل في تصنيف 2013! نتعاون معهم لتعريب المناهج، شاركونا! …,كورسيرا، المنصة العالمية الأضخم التي تضم مناهج من أفضل الجامعات العالمية (حسب تصنيف 2013)! نعمل حالياً بالتعاون معهم لتعريب هذه المناهج. ننتظر مشاركتكم!,neutral,positive,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
AraBERT-ArSAS,SENT_014800,negative,ArSarcasm,msa,True,الارجنتين بدون ميسي مضحكه 😂😂,الأرجنتين بلا ميسي مسخرة.,positive,negative,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
AraBERT-ArSAS,SENT_011836,neutral,ArSarcasm,msa,False,الناشطون السوريون في العالم مشغولون بزواج ريكي مارتن بشاب سوري هل هو حلال أم حرام #حلب,النشطاء السوريون حول العالم ينشغلون بمسألة زواج ريكي مارتن من شاب سوري، ويتساءلون إن كان حلالاً أم حراماً.,negative,neutral,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
AraBERT-ArSAS,SENT_016003,positive,ArSarcasm,egypt,False,RT @LibanCulture: وفعلها سعد رمضان وتحوّل إلى عريسٍ في ضيعته برجا@Saad_Ramadan https://t.co/N2SGUsAJTC https://t.co/kFsDij28fx,ها قد فعلها سعد رمضان! أصبح الآن عريساً في ضيعته برجا.,neutral,negative,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
AraBERT-ArSAS,SENT_013762,negative,ArSarcasm,msa,False,وسائل الإعلام الصينية توجه تحذيرًا صارمًا لترامب #ترامب #الصين https://t.co/RJVNMkiSCj https://t.co/ria7mmh55V,وجه الإعلام الصيني تحذيرًا شديد اللهجة إلى ترامب.,neutral,negative,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
AraBERT-ArSAS,SENT_013117,positive,ArSarcasm,msa,False,شكراً :),ألف شكر :),neutral,positive,short_text_or_context_loss,The text was too short or lacked enough context.
AraBERT-ArSAS,SENT_018361,positive,ArSarcasm,msa,False,RT @mohamedghorab32: على طريقة الزمالك .. برشلونة 2x2 يستعد لغزو العالم https://t.co/On0zFi19YW,برشلونة اتعادل 2-2. على طريقة الزمالك، خلاص هيغزوا العالم!,neutral,negative,entity_topic_bias,Named entities or political/sports topics may have biased the prediction.
AraBERT-ArSAS,SENT_011419,neutral,ArSarcasm,msa,False,RT @bshaeir3: - دخل ضد تايلاند وتسبب ببلنتي الانتصار .- دخل ضد العراق وانقذ هدف محقق 100٪ .- دخل ضد الامارات و فك المباراة بصاروخية . ي…,كل ما نزل، قلب الموازين. ضد تايلاند، جاب بلنتي الفوز. ضد العراق، أنقذ هدف كان محقق مية بالمية. وضد الإمارات، فك المباراة بتسديدة صاروخية حاسمة.,neutral,positive,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
AraBERT-ArSAS,SENT_018106,positive,ArSarcasm,msa,False,@Celebrities_Mag مـلـكـة الأرقـام #إلـيـسـا,المتربعة على عرش الأرقام... إليسا.,neutral,positive,short_text_or_context_loss,The text was too short or lacked enough context.
AraBERT-ArSAS,SENT_012761,negative,ArSarcasm,egypt,False,يادين امي ع الحظ يعني أحمد الشيخ مش هيجي يوم الاحد مع المقاصة 😐😠,يا خراب حظي! يعني أحمد الشيخ مش هيلعب يوم الأحد مع المقاصة؟,positive,negative,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
AraBERT-ArSAS,SENT_010108,positive,ArSarcasm,egypt,False,"@NawalElZoghbi - ﺑﻴﻦ گُل "" ﻧِﻔﺲ ﻓﻴّﻨﻲ "" صُوتگگ"" #نوآل_آلزغبي #آغلى_آلحبآيب 💙💗💗😍❤ https://t.co/5eMN7CEmTx",بكل نفس فيني، صوتك مرافقني.,negative,positive,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
AraBERT-ArSAS,SENT_016928,neutral,ArSarcasm,egypt,False,احمد الشيخ :- ياجدعان بوصولي جمبكو اهو انا اللي جبت الجون https://t.co/bj4G0qtRQ1,يا جدعان، بصوا لي، أنا جنبكم أهو، أنا اللي جبت الجون.,positive,negative,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
AraBERT-ArSAS,SENT_007196,neutral,ASTD,unknown,unknown,شاهدوا في الحلقة 23 من برنامج: عُمر صانع حضارة، كيف كان التراحم الاجتماعي بينه وبين الناس سبباً في إقامة دولة,تابعوا الحلقة الثالثة والعشرين من برنامج 'عُمر صانع حضارة' لتكتشفوا الدور المحوري الذي لعبه التراحم الاجتماعي بينه وبين رعيته في تأسيس الدولة.,positive,neutral,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
AraBERT-ArSAS,SENT_006936,positive,ASTD,unknown,unknown,#إبراهيم_محلب هايدخل التاريخ وهايحل مشكلة سد النهضة وإبقو إفتكرو إن مدرستى#دى_لاسال قدمت هدية لمصر من أحد خريجيها الناجحين,إبراهيم محلب هيسجل اسمه في التاريخ لأنه هيحل مشكلة سد النهضة. وخليكم فاكرين إن مدرستي دي لاسال قدمت لمصر هدية قيمة، وهو واحد من خريجيها الناجحين.,negative,positive,dialect_slang_ambiguity,Dialectal or informal wording affected prediction stability.
AraBERT-ArSAS,SENT_013849,neutral,ArSarcasm,msa,False,ريجيني جديد؟ https://t.co/HaGWS4Br8M,هل هذا ريجيني آخر؟,neutral,negative,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
AraBERT-ArSAS,SENT_003927,neutral,ASTD,unknown,unknown,#ﻓﻮﻟﻮﺭﺯ_ﺍﺳﻼﻣﻮﻓﻴﺘﺶ_ﺑﻴﻌﻤﻠﻮﺍ_ﻟﺒﻌﺾ_ﻓﻮﻟﻮ #ﻓﻮﻟﻮﺭﺯ_ﻋﻔﺮﻛﻮﺵ_ﺑﻴﻌﻤﻠﻮ_ﻓﻮﻟﻮ_ﻟﺒﻌﺾ #ﺍﻟﻤﺪﺭﻳﺪﺳﺘﺎ_ﺑﻴﻌﻤﻠﻮﺍ_ﻓﻮﻟﻮ_لبعض,فولورز إسلاموفيتش بيعملوا فولو لبعض، وفولورز عفركوش برضه بيعملوا لبعض فولو، والمدريديستا كمان بيعملوا فولو لبعض.,neutral,negative,neutral_news_confusion,A factual or news-like text was interpreted as emotional.
AraBERT-ArSAS,SENT_014626,neutral,ArSarcasm,egypt,True,اكثر صورة ضحكتني اليووم #ترامب #السعودية #Trump #Santa #Christmas #WhiteChristmas https://t.co/u31F4XTUjz,الصورة اللي موتتني ضحك اليوم.,positive,negative,sarcasm_irony_ambiguity,"Sarcasm, irony, emojis, or humor affected prediction stability."
